,To,From,Value,Year,Type
0,Alabama,Alabama,,2010,Estimate
1,Alaska,Alabama,477.0,2010,Estimate
2,Arizona,Alabama,416.0,2010,Estimate
3,Arkansas,Alabama,1405.0,2010,Estimate
4,California,Alabama,3364.0,2010,Estimate
5,Colorado,Alabama,954.0,2010,Estimate
6,Connecticut,Alabama,896.0,2010,Estimate
7,Delaware,Alabama,128.0,2010,Estimate
8,District of Columbia ,Alabama,360.0,2010,Estimate
9,Florida,Alabama,15830.0,2010,Estimate
10,Georgia,Alabama,13840.0,2010,Estimate
11,Hawaii,Alabama,749.0,2010,Estimate
12,Idaho,Alabama,376.0,2010,Estimate
13,Illinois,Alabama,1397.0,2010,Estimate
14,Indiana,Alabama,1502.0,2010,Estimate
15,Iowa,Alabama,330.0,2010,Estimate
16,Kansas,Alabama,44.0,2010,Estimate
17,Kentucky,Alabama,2161.0,2010,Estimate
18,Louisiana,Alabama,5740.0,2010,Estimate
19,Maine,Alabama,402.0,2010,Estimate
20,Maryland,Alabama,1641.0,2010,Estimate
21,Massachusetts,Alabama,583.0,2010,Estimate
22,Michigan,Alabama,2403.0,2010,Estimate
23,Minnesota,Alabama,266.0,2010,Estimate
24,Mississippi,Alabama,8306.0,2010,Estimate
25,Missouri,Alabama,819.0,2010,Estimate
26,Montana,Alabama,212.0,2010,Estimate
27,Nebraska,Alabama,232.0,2010,Estimate
28,Nevada,Alabama,150.0,2010,Estimate
29,New Hampshire,Alabama,152.0,2010,Estimate
30,New Jersey,Alabama,616.0,2010,Estimate
31,New Mexico,Alabama,751.0,2010,Estimate
32,New York,Alabama,1310.0,2010,Estimate
33,North Carolina,Alabama,3044.0,2010,Estimate
34,North Dakota,Alabama,109.0,2010,Estimate
35,Ohio,Alabama,1289.0,2010,Estimate
36,Oklahoma,Alabama,1612.0,2010,Estimate
37,Oregon,Alabama,400.0,2010,Estimate
38,Pennsylvania,Alabama,369.0,2010,Estimate
39,Rhode Island,Alabama,136.0,2010,Estimate
40,South Carolina,Alabama,1741.0,2010,Estimate
41,South Dakota,Alabama,325.0,2010,Estimate
42,Tennessee,Alabama,8897.0,2010,Estimate
43,Texas,Alabama,8636.0,2010,Estimate
44,Utah,Alabama,93.0,2010,Estimate
45,Vermont,Alabama,0.0,2010,Estimate
46,Virginia,Alabama,2671.0,2010,Estimate
47,Washington,Alabama,1322.0,2010,Estimate
48,West Virginia,Alabama,41.0,2010,Estimate
49,Wisconsin,Alabama,552.0,2010,Estimate
50,Wyoming,Alabama,172.0,2010,Estimate
51,Puerto Rico,Alabama,629.0,2010,Estimate
52,Alabama,Alabama,,2010,MOE
53,Alaska,Alabama,790.0,2010,MOE
54,Arizona,Alabama,305.0,2010,MOE
55,Arkansas,Alabama,1001.0,2010,MOE
56,California,Alabama,1977.0,2010,MOE
57,Colorado,Alabama,803.0,2010,MOE
58,Connecticut,Alabama,891.0,2010,MOE
59,Delaware,Alabama,211.0,2010,MOE
60,District of Columbia ,Alabama,418.0,2010,MOE
61,Florida,Alabama,3829.0,2010,MOE
62,Georgia,Alabama,2473.0,2010,MOE
63,Hawaii,Alabama,542.0,2010,MOE
64,Idaho,Alabama,369.0,2010,MOE
65,Illinois,Alabama,596.0,2010,MOE
66,Indiana,Alabama,1110.0,2010,MOE
67,Iowa,Alabama,202.0,2010,MOE
68,Kansas,Alabama,75.0,2010,MOE
69,Kentucky,Alabama,871.0,2010,MOE
70,Louisiana,Alabama,2537.0,2010,MOE
71,Maine,Alabama,311.0,2010,MOE
72,Maryland,Alabama,1004.0,2010,MOE
73,Massachusetts,Alabama,382.0,2010,MOE
