,To,From,Value,Year,Type
0,Alabama,Alabama,,2021,Estimate
1,Alaska,Alabama,517.0,2021,Estimate
2,Arizona,Alabama,1485.0,2021,Estimate
3,Arkansas,Alabama,950.0,2021,Estimate
4,California,Alabama,2710.0,2021,Estimate
5,Colorado,Alabama,2192.0,2021,Estimate
6,Connecticut,Alabama,0.0,2021,Estimate
7,Delaware,Alabama,0.0,2021,Estimate
8,District of Columbia ,Alabama,342.0,2021,Estimate
9,Florida,Alabama,15159.0,2021,Estimate
10,Georgia,Alabama,22228.0,2021,Estimate
11,Hawaii,Alabama,2192.0,2021,Estimate
12,Idaho,Alabama,350.0,2021,Estimate
13,Illinois,Alabama,614.0,2021,Estimate
14,Indiana,Alabama,1906.0,2021,Estimate
15,Iowa,Alabama,478.0,2021,Estimate
16,Kansas,Alabama,967.0,2021,Estimate
17,Kentucky,Alabama,2407.0,2021,Estimate
18,Louisiana,Alabama,3717.0,2021,Estimate
19,Maine,Alabama,20.0,2021,Estimate
20,Maryland,Alabama,906.0,2021,Estimate
21,Massachusetts,Alabama,1056.0,2021,Estimate
22,Michigan,Alabama,2032.0,2021,Estimate
23,Minnesota,Alabama,104.0,2021,Estimate
24,Mississippi,Alabama,3795.0,2021,Estimate
25,Missouri,Alabama,1362.0,2021,Estimate
26,Montana,Alabama,370.0,2021,Estimate
27,Nebraska,Alabama,134.0,2021,Estimate
28,Nevada,Alabama,492.0,2021,Estimate
29,New Hampshire,Alabama,370.0,2021,Estimate
30,New Jersey,Alabama,246.0,2021,Estimate
31,New Mexico,Alabama,484.0,2021,Estimate
32,New York,Alabama,1930.0,2021,Estimate
33,North Carolina,Alabama,3276.0,2021,Estimate
34,North Dakota,Alabama,377.0,2021,Estimate
35,Ohio,Alabama,2258.0,2021,Estimate
36,Oklahoma,Alabama,914.0,2021,Estimate
37,Oregon,Alabama,487.0,2021,Estimate
38,Pennsylvania,Alabama,585.0,2021,Estimate
39,Rhode Island,Alabama,0.0,2021,Estimate
40,South Carolina,Alabama,1472.0,2021,Estimate
41,South Dakota,Alabama,30.0,2021,Estimate
42,Tennessee,Alabama,9869.0,2021,Estimate
43,Texas,Alabama,9389.0,2021,Estimate
44,Utah,Alabama,436.0,2021,Estimate
45,Vermont,Alabama,94.0,2021,Estimate
46,Virginia,Alabama,1878.0,2021,Estimate
47,Washington,Alabama,1064.0,2021,Estimate
48,West Virginia,Alabama,506.0,2021,Estimate
49,Wisconsin,Alabama,331.0,2021,Estimate
50,Wyoming,Alabama,0.0,2021,Estimate
51,Puerto Rico,Alabama,47.0,2021,Estimate
52,Alabama,Alabama,,2021,MOE
53,Alaska,Alabama,279.0,2021,MOE
54,Arizona,Alabama,1315.0,2021,MOE
55,Arkansas,Alabama,607.0,2021,MOE
56,California,Alabama,1120.0,2021,MOE
57,Colorado,Alabama,1212.0,2021,MOE
